name,faction_name,faction_tag,opponent_faction,war_result,war_date,respect_gain,respect_loss,total_energy,war_hits,losses,average_ff,defends_lost,chain_hits,assists,foreign_attacks,retaliations,grade,impact_label,notes
LuckyHornet,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,1152.81,175.0,3150,112,3,2.38,18,79,11,21,0,A+,MVP PERFORMANCE,LuckyHornet finished 1 of 22 on net respect. Enormous hit volume — carried the offence. Outstanding chain discipline.
StrayVulture59,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,1141.87,335.4,3150,112,2,2.58,34,74,9,10,5,A,MVP PERFORMANCE,StrayVulture59 finished 2 of 22 on net respect. Enormous hit volume — carried the offence. Outstanding chain discipline. Took a lot of defensive losses — watch the hospital timing.
VelvetFalcon25,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,543.37,59.38,2450,77,4,2.03,15,67,7,0,0,A,MVP PERFORMANCE,VelvetFalcon25 finished 3 of 22 on net respect. Reliable offensive output all war. Outstanding chain discipline.
ElectricWolverine99,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,373.13,8.42,1450,58,0,1.91,4,44,0,10,0,A-,MVP PERFORMANCE,ElectricWolverine99 finished 4 of 22 on net respect. Reliable offensive output all war.
GrimBison,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,385.1,30.76,1500,44,3,2.6,10,48,5,0,0,A-,MVP PERFORMANCE,GrimBison finished 5 of 22 on net respect. Reliable offensive output all war.
BrokenBadger,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,387.9,36.86,1525,53,1,1.87,8,28,2,12,0,B+,SOLID CONTRIBUTOR,BrokenBadger finished 6 of 22 on net respect. Reliable offensive output all war.
IronVulture,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,321.03,36.38,1350,45,6,2.14,12,37,7,0,0,B+,SOLID CONTRIBUTOR,IronVulture finished 7 of 22 on net respect. Reliable offensive output all war.
CosmicOtter,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,250.43,0.0,850,26,0,2.71,0,31,0,12,0,B,SOLID CONTRIBUTOR,CosmicOtter finished 8 of 22 on net respect. Contributed hits when available.
CosmicCheetah,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,250.0,16.53,900,28,0,2.54,4,31,0,4,0,B,SOLID CONTRIBUTOR,CosmicCheetah finished 9 of 22 on net respect. Contributed hits when available.
IronWeasel21,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,331.66,99.05,950,36,1,2.72,17,31,1,3,0,B,SOLID CONTRIBUTOR,IronWeasel21 finished 10 of 22 on net respect. Contributed hits when available.
RapidVulture,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,486.89,310.2,1725,64,1,2.46,44,57,3,0,0,B-,SOLID CONTRIBUTOR,RapidVulture finished 11 of 22 on net respect. Reliable offensive output all war. Outstanding chain discipline. Took a lot of defensive losses — watch the hospital timing.
BitterTiger96,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,175.44,10.29,800,21,0,2.12,4,28,0,4,0,B-,SOLID CONTRIBUTOR,BitterTiger96 finished 12 of 22 on net respect. Contributed hits when available.
wildheron,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,208.75,51.46,1050,38,1,1.73,17,17,2,17,0,C+,STEADY PRESENCE,wildheron finished 13 of 22 on net respect. Contributed hits when available.
CrookedShark,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,154.61,30.93,500,16,1,2.24,5,19,1,0,0,C+,STEADY PRESENCE,CrookedShark finished 14 of 22 on net respect. Contributed hits when available.
ToxicHornet47,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,106.89,24.32,400,13,0,2.48,10,0,0,13,0,C,STEADY PRESENCE,ToxicHornet47 finished 15 of 22 on net respect. Contributed hits when available. Could look to pick up more chain hits.
GrimStallion,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,103.31,22.62,700,25,0,1.59,8,7,0,21,0,C,STEADY PRESENCE,GrimStallion finished 16 of 22 on net respect. Contributed hits when available.
BlazingLynx28,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,21.1,6.96,125,5,0,1.69,2,0,0,0,0,C,STEADY PRESENCE,BlazingLynx28 finished 17 of 22 on net respect. Contributed hits when available. Could look to pick up more chain hits.
ElectricCobra59,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,17.74,11.68,175,4,1,1.53,5,0,1,0,0,C-,STEADY PRESENCE,ElectricCobra59 finished 18 of 22 on net respect. Contributed hits when available. Could look to pick up more chain hits.
MoltenCheetah17,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,0.0,5.86,0,0,0,0,3,0,0,0,0,D,ROOM TO GROW,MoltenCheetah17 finished 19 of 22 on net respect. No war hits logged this war.
shadowfox,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,0.0,40.34,25,0,0,1,13,0,0,0,0,D,ROOM TO GROW,shadowfox finished 20 of 22 on net respect. No war hits logged this war.
GhostWolf,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,0.0,46.12,0,0,0,0,14,0,0,0,0,D,ROOM TO GROW,GhostWolf finished 21 of 22 on net respect. No war hits logged this war.
ghostmantis,Silver Brigade,Silver Brigade,Onyx Crew,Win,2026-08-24,27.02,107.91,450,4,0,2.39,21,18,0,2,0,D,ROOM TO GROW,ghostmantis finished 22 of 22 on net respect. Contributed hits when available. Took a lot of defensive losses — watch the hospital timing.
