StrayVulture59,1141.87,335.4,806.47,,,Total Respect,Total Energy,Respect Gain,Losses,Average FF,Defends Loss,Respect Loss,Chain Hits,War Hits,Assists,Foreign Attacks,Retaliations,Hospitalization
ElectricWolverine99,373.13,8.42,364.71,,LuckyHornet,977.81,3150,1152.81,3,2.38,18,175,79,112,11,21,0,2
MoltenCheetah17,0,5.86,-5.86,,StrayVulture59,806.47,3150,1141.87,2,2.58,34,335.4,74,112,9,10,5,4
LuckyHornet,1152.811875,175,977.811875,,VelvetFalcon25,483.99,2450,543.37,4,2.03,15,59.38,67,77,7,0,0,0
BlazingLynx28,21.1,6.96,14.14,,ElectricWolverine99,364.71,1450,373.13,0,1.91,4,8.42,44,58,0,10,0,0
RapidVulture,486.894375,310.2,176.694375,,GrimBison,354.34,1500,385.1,3,2.6,10,30.76,48,44,5,0,0,0
VelvetFalcon25,543.3661039,59.38,483.9861039,,BrokenBadger,351.04,1525,387.9,1,1.87,8,36.86,28,53,2,12,0,0
CrookedShark,154.61,30.93,123.68,,IronVulture,284.65,1350,321.03,6,2.14,12,36.38,37,45,7,0,0,0
ToxicHornet47,106.89,24.32,82.57,,CosmicOtter,250.43,850,250.43,0,2.71,0,0,31,26,0,12,0,0
BrokenBadger,387.9,36.86,351.04,,CosmicCheetah,233.47,900,250,0,2.54,4,16.53,31,28,0,4,0,0
CosmicOtter,250.4276923,0,250.4276923,,IronWeasel21,232.61,950,331.66,1,2.72,17,99.05,31,36,1,3,0,0
ElectricCobra59,17.74,11.68,6.06,,RapidVulture,176.69,1725,486.89,1,2.46,44,310.2,57,64,3,0,0,0
shadowfox,0,40.34,-40.34,,BitterTiger96,165.15,800,175.44,0,2.12,4,10.29,28,21,0,4,0,0
ghostmantis,27.02,107.91,-80.89,,wildheron,157.29,1050,208.75,1,1.73,17,51.46,17,38,2,17,0,2
CosmicCheetah,250,16.53,233.47,,CrookedShark,123.68,500,154.61,1,2.24,5,30.93,19,16,1,0,0,0
BitterTiger96,175.44,10.29,165.15,,ToxicHornet47,82.57,400,106.89,0,2.48,10,24.32,0,13,0,13,0,0
IronWeasel21,331.6638889,99.05,232.6138889,,GrimStallion,80.69,700,103.31,0,1.59,8,22.62,7,25,0,21,0,0
wildheron,208.75,51.46,157.29,,BlazingLynx28,14.14,125,21.1,0,1.69,2,6.96,0,5,0,0,0,0
IronVulture,321.0288889,36.38,284.6488889,,ElectricCobra59,6.06,175,17.74,1,1.53,5,11.68,0,4,1,0,0,0
GrimBison,385.1,30.76,354.34,,MoltenCheetah17,-5.86,0,0,0,0,3,5.86,0,0,0,0,0,0
GhostWolf,0,46.12,-46.12,,shadowfox,-40.34,25,0,0,1,13,40.34,0,0,0,0,0,0
GrimStallion,103.31,22.62,80.69,,GhostWolf,-46.12,0,0,0,0,14,46.12,0,0,0,0,0,0
,,,,,ghostmantis,-80.89,450,27.02,0,2.39,21,107.91,18,4,0,2,0,0
